feature_ID,Z_statistic,p_value,median_pacientes,median_sanos,mean_pacientes,mean_sanos,significativo_0_05
128,-1.834154484963279,0.06663106553443042,0.3148759892069551,0.3795864532804092,0.3533852604065577,0.3644160763910032,False
104,-1.834154484963279,0.06663106553443042,0.3041186220477708,0.3669166418075939,0.3463681606727707,0.3560563189160894,False
80,-1.825185514376661,0.067973039005379,0.282778601911888,0.3530061440255772,0.328356115096054,0.3330862954702104,False
134,-1.744464779097104,0.08107807781409779,0.3179168075512489,0.385515958236006,0.3620621978628529,0.3636258923628598,False
86,-1.744464779097104,0.08107807781409779,0.2811432308719757,0.3495098534950294,0.3249147854022635,0.3293107575964432,False
98,-1.744464779097104,0.08107807781409779,0.3011701817840489,0.3645041142302695,0.3432983801167994,0.3505134824611908,False
44,-1.726526837923869,0.08425267533275362,0.271118044024413,0.326908818460711,0.3099888676253541,0.3079098707748565,False
17,-1.708588896750634,0.08752712680268948,0.2887831255670421,0.3572203280189401,0.3385980769835846,0.3388152586708216,False
26,-1.708588896750634,0.08752712680268948,0.3483274942128808,0.422737930336725,0.3931302672903993,0.3890794751408084,False
55,-1.699619926164016,0.0892024398036982,0.5122625420401072,0.5429638928913803,0.502164387309763,0.5742800421986678,False
152,-1.690650955577399,0.09090348647913063,0.3159503229022501,0.3839702572886727,0.3704681545512006,0.3636565606665559,False
92,-1.672713014404164,0.09438380596030826,0.2928794565147506,0.3601082547933505,0.3357051458104237,0.3412332797810433,False
140,-1.663744043817546,0.09616359051179138,0.3186137508606582,0.3777124518372565,0.3654097027993348,0.3615187871791675,False
50,-1.645806102644311,0.09980368547013128,0.2796247937718098,0.3379766458960418,0.317714218597795,0.3138821719247858,False
157,-1.636837132057694,0.1016645048301979,0.4308402646927063,0.5895173735270226,0.4822938404759323,0.5610671919545211,False
56,-1.636837132057694,0.1016645048301979,0.3196859876088083,0.3788850047324875,0.3608551456522994,0.3610604827228824,False
